source_file,source_sheet,supplier_name,phone,mobile,contact_person
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,מכבסה עיר העתיקה,054-5292211,,דודו
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,ריבלין ציוד למטבח,03-7280999,,
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,זגגות מבוא חורון,054-2449303,,עמית
/mnt/user-data/uploads/1783406131604_טלפונים_ספקים_ונותני_שירות.xlsx,גיליון1,טכנאי לדחסן,050-9256690,קרית גת,בני
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,אוסם,08-9738547,054-6767789,ריקרדו/נילי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,אנג'ל,02-6580580,,רפאל
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,אנג'ל בית מאפה,02-6580513,312322,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,אייס תיי,050-7501177,,נימרוד
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,אריאל שיווק בשר,054-2544895,,ניר
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,ביצי הכפר,03-9367427,,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,ביצים טריות,02-9922072,050-2363560,יצחק
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,בן אנד ג'רי,054-6767780,054-3060700,רותם
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,ג'יבאני,בני,050-9114010,יונה\חגי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,גלאט עלים,052-5531913,052-4233961,חיים
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,הדייג שלי,,050-3607660,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,סחר ושיווק(מכונת אייס תיי),050-7501177,נימרוד,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,ווגשל,02-5902055,052-5427766,טיראן
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,טורטיה,,050-3695210,דודו
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,יפאורה,03-9076778,054-4460833,ניר
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,ליאור(עלים),,052-2200943,ליאור
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,נוגטין(כמהין),02-9924565,,יעקוב
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,מאפיית קליינס,052-7182436,058-5460048,אורי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,מאפית חלת הבית,050-2669499,,מור
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,מאפית הרבי,02-9973631,,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,סחראי,02-9917660,050-5330815,יעקוב
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,עוף ירושלים,054-6612424,054-3123556,יאיר
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,פאי הכפר,053-7619301,050-5403614,שמוליק
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,פאר לי,02-6590326,050-5619922,אפי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,פיצה ללא גלוטון,08-6818182,,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,פלדמן(גלידות),08-9462127,,אלי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,שחר קפואים,02-9918237,050-7820879,צחי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,שטראוס,052-7051110,,חן
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,שי פסי,03-5598870/1,054-3273503,גבי
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,תנובה,*3910,,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,משיגח נתן,,052-6089363,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,מרפדית בן אליעזר,03-6728395,,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,שניצליה(עכו),077-4044247,,
/mnt/user-data/uploads/1783406149305_טלפונים_ספקי_מזון.xls,גיליון1,מזליקה(עכו),04-9911919,,
